1,Bar Cafetería El Rocío,NULL,Hostelería,Barrio de la Salud Alto,RECTOR ANTONIO BETHENCOURT,S/N,NULL,NULL,,
2,Rincón Achinech 4 Caminos,NULL,Hostelería,Tejina,JOSE A RODRIGUEZ AMADOR,6,NULL,NULL,,
3,Balu Hamburguesería,NULL,Hostelería,Valle de Guerra,PALMA (LA),37,NULL,NULL,,
4,Bar Luis ,NULL,Hostelería,Tejina,COSTA (LA) TEJINA,5,NULL,NULL,,
5,Bar Zabenzui,NULL,Hostelería,Tejina,GENERAL LA LAGUNA PUNTA DEL HIDALGO,S/N,NULL,NULL,,
6,Bodegon Chano,NULL,Hostelería,Tejina,CTRA.EL BOQUERON (TRV.1),17,NULL,NULL,,
7,Bar El Bocadillo,NULL,Hostelería,La Higuerita,URB. LA HIGUERITA,S/N,NULL,NULL,,
8,Bar El Cortijo,NULL,Hostelería,San Benito,ANDRES BELLO,2,NULL,NULL,,
9,Bodegón La Esperanza,NULL,Hostelería,Guamasa,CAMPO DE GOLF,109,Cruz Chica,NULL,,
10,La Cocina de María,NULL,Hostelería,San Benito,SAN ANTONIO,4,NULL,NULL,,
11,Cafetería El Puente,NULL,Hostelería,Barrio Nuevo,PUENTE (EL) BARRIO NUEVO,4,NULL,NULL,,
12,Amparo Comidas,NULL,Hostelería,Centro,TRINIDAD (DE),22,NULL,NULL,,
13,Avenida 25 Bar,NULL,Hostelería,Centro,TRINIDAD (DE),25,NULL,NULL,,
14,La Golosa,NULL,Hostelería,Centro,TRINIDAD (DE),49,NULL,NULL,,
15,El Carro,NULL,Hostelería,Centro,TRINIDAD (DE),53,NULL,NULL,,
16,Bocados,NULL,Hostelería,La Verdellada,DACIO FERRERA MARTIN,2 local 7,Calle Dacio Ferrera Martín local 7,Bocados Cafetería,,
17,Tasca 100 Montaditos,NULL,Hostelería,Centro,OBISPO REY REDONDO,16,Cl Obispo Rey Redondo 16 Cp 38201,NULL,,
18,Cafeteria Cacao Cafe,NULL,Hostelería,Centro,OBISPO REY REDONDO,51,Cl Obispo Rey Redondo 51 Cp 38201,NULL,,
19,Cafeteria Aguere,NULL,Hostelería,Centro,OBISPO REY REDONDO,55,Cl Obispo Rey Redondo 55 Cp 38201,NULL,,
20,Cerveceria 7 Islas,NULL,Hostelería,Centro,HERACLIO SANCHEZ,25,Cl Heraclio Sanchez 25 Cp 38204,NULL,,
21,Bar La Tropical,NULL,Hostelería,Centro,HERACLIO SANCHEZ,27,Cl Heraclio Sanchez 27 Cp 38204,NULL,,
22,Bar Benjamin,NULL,Hostelería,Centro,HERACLIO SANCHEZ,27,Cl Heraclio Sanchez 27 Cp 38204,NULL,,
23,El Rincon de Piadina,NULL,Hostelería,Centro,HERACLIO SANCHEZ,62,Cl Heraclio Sanchez 62 Cp 38204,NULL,,
24,Lavazza Sorbete,NULL,Hostelería,Centro,HERRADORES,35,NULL,NULL,,
25,Mungo Cafe,NULL,Hostelería,Centro,HERRADORES,86,Cl Herradores 86 Cp 38201,NULL,,
26,Tasca Timbel,NULL,Hostelería,Centro,HERACLIO SANCHEZ,60,Cl Heraclio Sanchez 60 Cp 38204,NULL,,
27,Imygood,NULL,Hostelería,Centro,OBISPO REY REDONDO,10,NULL,NULL,,
28,Bar Bacallado,NULL,Hostelería,Centro,NUNEZ DE LA PENA,52,NULL,NULL,,
29,Bodegón Bollullo,NULL,Hostelería,Centro,NUNEZ DE LA PENA,65,NULL,NULL,,
30,Bar Cafetería La Guinda,NULL,Hostelería,Centro,DOCTOR OLIVERA,10,NULL,NULL,,
31,Bar Benidorm,NULL,Hostelería,Centro,DOCTOR OLIVERA,6,Pz Dr. Olivera 06 Cp 38202,NULL,,
32,Cafeteria Venecia,NULL,Hostelería,Centro,CONCEPCION (LA),2,NULL,NULL,,
33,Coco Cake Café,NULL,Hostelería,Centro,SAN AGUSTIN,36,NULL,NULL,,
34,La Pera Limonera,NULL,Hostelería,Centro,SAN AGUSTIN,29,Cl San Agustin 29 Cp 38201,NULL,,
35,Cafetería Molina,NULL,Hostelería,Centro,SAN AGUSTIN,45,Cl San Agustin 45 Cp 38201,NULL,,
36,La Cocina de Ángeles,NULL,Hostelería,Centro,SEIS DE DICIEMBRE,26-2,NULL,NULL,,
37,Igual que en casa ,NULL,Hostelería,San Benito,LUCAS VEGA,76,NULL,NULL,,
38,Bar los Espejos,NULL,Hostelería,San Benito,ALBERTO DE ARMAS,S/N,NULL,NULL,,
39,Arepera La gomera,NULL,Hostelería,San Matías,SAN PLACIDO,2,NULL,NULL,,
40,Bar Atocha,NULL,Hostelería,Gracia,HORNERA (LA),17,NULL,NULL,,
41,Cerbecería Lagunita,NULL,Hostelería,Gracia,RECTOR ANGEL M. GUTIERREZ NAVARRO,5,NULL,NULL,,
42,Bar Cafecito,NULL,Hostelería,Centro,TRINIDAD (DE),BL 11,NULL,NULL,,
43,Nueva Delhi,NULL,Hostelería,Centro,TRINIDAD (DE),9,NULL,NULL,,
44,Bar Plaza,NULL,Hostelería,La Verdellada,FRANCISCO AFONSO CARRILLO,58,NULL,NULL,,
